7744195,57089546,2823,4006,78,10,48,4,5326.62
15062100,11709235,1227,3978,63,13,39,2,3279.15
7265300,33216711,1108,3974,40,5,29,3,2032.8
12353811,24402745,583,3974,72,17,42,4,3281.04
8382545,49457974,851,3963,47,8,34,1,2262.58
3394075,18648405,469,3960,79,10,52,4,3498.91
9744089,16022431,684,3953,30,3,24,2,1391.1
3393184,52766151,417,3944,77,9,35,1,3357.97
4877867,5656175,694,3921,69,10,48,4,3184.35
7018490,31865804,1177,3911,51,13,33,2,2594.88
26568678,30047345,5164,3856,65,3,53,1,5863
858931,13029758,497,3781,47,17,26,1,2010.66
6047640,53187798,446,3756,50,1,41,1,2101
44350197,21085925,4350,3751,73,13,48,2,5913.73
15362630,1937682,1029,3742,66,15,38,3,3148.86
8358294,28300043,911,3727,71,9,51,1,3292.98
9248550,33823424,1114,3651,59,10,42,3,2811.35
31564122,12681236,2653,3640,70,15,45,5,4405.1
8702420,2191375,525,3624,60,16,38,2,2489.4
6990368,1097024,966,3594,68,13,45,1,3100.8
1485872,18512682,567,3576,56,21,31,1,2320.08
26598781,19424923,1350,3568,78,12,48,4,3836.04
1357386,38108662,464,3563,66,6,44,5,2657.82
4945838,15955813,456,3536,45,9,28,2,1796.4
4622571,23950917,486,3534,78,4,52,3,3135.6
8689868,2444624,711,3484,75,10,60,4,3146.25
16090645,28914966,2342,3482,56,11,32,5,3261.44
1112355,1796542,1261,3470,66,34,25,2,3122.46
16996999,14573042,1696,3467,80,16,50,3,4130.4
1937897,24016020,322,3456,63,13,42,3,2380.14
40628959,25028289,5979,3388,63,16,36,2,5901.21
12974320,63162411,1134,3381,76,13,50,6,3431.4
26763651,1599728,2187,3328,64,10,43,3,3529.6
7841048,30756170,531,3314,76,16,43,4,2922.2
1526425,14131555,387,3292,61,26,29,1,2244.19
16431350,1998571,2009,3265,80,7,59,4,4219.2
16038004,15544821,3370,3228,60,16,37,6,3958.8
80246,616507,213,3221,22,13,7,1,755.48
59312,446057,417,3193,71,17,48,2,2563.1
2164473,36604309,333,3193,75,13,48,2,2644.5
3495459,29312447,234,3189,67,7,46,1,2293.41
29540768,34705387,1227,3176,78,21,44,4,3434.34
10742088,0,1969,1797,68,14,41,1,2560.88
1685951,567649,1483,3169,68,16,42,3,3163.36
1253249,22559976,274,3135,74,11,40,5,2522.66
35091879,21692600,5369,3122,30,6,21,1,2547.3
15465899,12620070,2577,3104,31,6,22,1,1761.11
1199840,7521358,787,3101,73,6,58,1,2838.24
2957844,21548875,418,3080,57,11,41,4,1993.86
3505157,19009492,830,3079,47,7,33,5,1837.23
19361371,13503613,1482,3038,85,8,65,1,3842
5654106,40981026,538,3038,73,11,49,2,2610.48
5847780,20015170,328,3023,71,12,45,1,2379.21
40808811,17632071,5445,3000,38,8,25,1,3209.1
1942151,15037709,266,2994,74,10,55,1,2412.4
1174805,49163255,297,2991,67,15,42,1,2202.96
2032190,12077892,565,2989,55,18,29,2,1954.7
14474404,19010082,2386,2984,38,9,21,1,2040.6
0,0,1806,490,11,0,10,1,252.56
9510714,22989220,517,2969,71,14,50,2,2475.06
951281,33366449,166,2966,65,10,37,3,2035.8
31249502,2467795,4813,2956,55,11,35,1,4272.95
17523987,1587429,372,2950,79,12,54,2,2624.38
4813547,24019762,485,2938,67,13,40,3,2293.41
