12705756,22478581,1016,5338,80,33,36,3
23099086,17754033,1547,5257,76,28,38,4
1920557,21466012,506,5232,67,14,40,2
1195076,53554447,381,5206,50,14,30,2
5376372,30282300,679,5187,66,13,42,1
56913099,25177772,2213,5186,70,10,50,3
3212962,59886621,621,5126,46,14,26,2
23318703,29885122,5603,5122,66,20,36,4
3306666,10562631,933,5092,78,9,56,4
7918562,18297104,1356,5087,75,15,51,3
55574080,29084181,2901,5038,43,4,33,3
11606,785217,221,5004,19,2,15,1
4331861,28207467,479,4996,54,18,27,2
2005319,23128036,439,4976,61,3,51,2
12266125,28868002,1139,4960,29,9,17,1
2316562,31017731,519,4927,52,12,34,1
9702739,9416705,926,4921,76,17,46,3
708622,26819925,195,4857,77,15,56,1
2202068,20606044,339,4796,100,100,100,1
33616232,46740245,3245,4785,39,7,26,3
5517971,42991999,1179,4782,54,13,32,2
7332390,24113146,834,4759,100,100,100,6
15988083,80750304,1544,4689,65,15,44,5
4372855,32273707,654,4686,73,16,47,2
1209055,15853971,692,4685,73,9,53,2
39150812,27733373,2685,4684,71,11,48,3
2314604,16420414,486,4541,27,0,24,1
14775672,25985196,1140,4512,66,13,40,6
6022780,33154663,783,4504,69,11,47,1
673912,4223324,209,4486,34,0,30,1
11649165,45533963,1309,4471,70,9,49,3
2661967,391421,376,4413,53,13,33,1
14260153,68574000,946,4408,64,16,39,4
11994217,16803841,2492,4368,55,1,48,2
39200441,24043141,2352,4366,55,13,34,1
29501662,23933881,4246,4358,55,15,34,3
4260220,54004450,323,4324,68,11,43,2
5062822,51896437,557,4287,41,13,24,1
5461918,31499016,465,4285,79,1,72,1
1924036,27893187,378,4253,56,4,41,2
8500268,49729460,798,4249,52,13,34,2
263030,2848265,246,4217,51,12,29,2
8694945,37215086,1138,4204,73,12,48,6
3399278,39017858,452,4204,79,7,68,1
8310032,28184689,1186,4202,50,17,27,1
3394518,7336643,1787,4147,69,13,47,5
10843901,21280545,1833,4110,85,15,56,2
22133917,14434779,3148,4109,100,100,100,4
1287596,15160808,503,4102,57,11,38,6
3720589,18337823,405,4094,68,16,43,1
7038315,52272797,3392,4069,54,15,33,2
11547506,11398380,3980,4048,85,8,54,2
23893370,40168773,1218,4043,63,7,45,1
8657162,31064917,1647,3960,53,15,32,1
4186446,14955212,431,3960,72,10,46,1
5909306,69446926,389,3925,68,16,36,4
1241091,4415350,1423,3899,34,8,22,1
20898937,33093588,3958,3891,48,4,36,3
7088332,416875,678,3859,90,5,77,2
4038338,1805862,439,3859,37,1,31,4
1888018,48974605,400,3859,80,6,53,1
32213894,8385315,4115,3855,43,6,31,2
9930035,40300871,2793,3824,64,23,32,6
25576760,31210275,2348,3797,87,4,75,1
17599808,38821670,4541,3747,61,12,40,7
2830910,24824214,739,3743,72,4,45,2
38882693,16604748,5455,3739,72,9,51,3
1229487,218418,275,3730,59,14,38,1
3630921,49786930,261,3726,75,11,47,4
2066458,5260796,570,3697,36,1,32,3
8297693,14851158,939,3692,79,9,56,7
5447791,858017,1033,3691,51,2,40,6
2427310,23013279,2258,3684,54,5,43,2
1383554,29985153,1461,3668,25,1,20,3
2485693,9689623,1486,3654,33,3,27,5
2008876,58285578,473,3616,66,11,41,2
3431760,0,655,3596,76,7,57,6
1235172,1078689,424,3587,71,6,53,5
1157220,36800468,280,3584,79,9,51,1
2810130,20718751,572,3551,66,15,41,1
6627983,14266563,1422,3543,73,11,51,5
63666431,16175981,3675,3534,83,5,58,5
41381608,2475455,4792,3518,84,1,65,1
3032583,26518679,551,3517,74,14,43,4
1491102,49090136,516,3511,74,14,50,6
11638663,45312049,4485,3490,67,22,35,2
1144958,16816070,583,3486,58,13,37,3
26827053,1222500,2559,3478,77,9,55,4
4515690,8699279,676,3478,87,6,67,4
2130171,33417684,432,3465,67,12,46,4
26091001,11790155,1275,3454,38,11,22,6
7031430,886198,883,3451,74,0,55,5
1481133,7592993,1108,3425,79,7,61,2
482656,40354637,141,3424,39,6,27,2
924008,47463445,139,3405,76,14,42,1
10197676,17784157,1029,3401,68,8,51,4
1254491,143196,268,3395,53,0,47,1
4579012,8009568,1453,3378,51,5,39,8
6085783,36448907,899,3374,76,11,51,1
8780049,14278248,1238,3365,66,15,41,3
651947,8267145,267,3354,60,10,30,2
5579245,13270959,550,3345,74,12,50,2
41935046,16897782,2874,3327,70,6,55,7
11290243,22280968,4596,3324,67,13,44,2
6778624,19350699,804,3324,80,5,51,2
1314433,22780592,370,3320,80,5,53,1
23560672,29686602,1252,3315,62,3,48,4
15475961,1782434,916,3312,64,8,42,3
20039039,60979025,5158,3299,77,10,54,4
2913264,25280926,320,3295,69,13,44,2
1713537,13941238,465,3292,76,7,63,2
12335126,24548964,945,3275,64,15,43,6
3216778,9130452,306,3266,49,2,38,5
873020,2034665,54,3266,67,0,63,2
1651429,20366142,455,3259,71,12,45,1
7529044,31241397,1086,3240,62,24,29,5
4403577,45664740,761,3222,59,16,36,4
3781720,1490081,485,3202,78,2,66,3
14402795,13484421,2393,3196,76,10,57,1
103413,51437,55,3174,54,0,50,1
1022316,21408335,370,3164,55,7,41,4
31454933,8911192,5367,3156,71,6,52,2
56879,566858,173,3154,100,100,100,2
4610419,18140563,936,3152,78,14,50,4
3450176,25011838,537,3137,58,12,36,1
3738643,35128974,322,3118,68,14,38,2
411694,711028,356,3110,65,11,42,2
1510395,18310855,500,3107,100,100,100,2
4049328,27115868,2875,3105,82,12,55,1
821434,15308535,434,3099,67,6,51,1
27068491,1716816,3494,3086,64,4,46,1
13986539,2805864,1321,3077,61,4,47,6
675734,18239954,242,3070,64,8,48,1
4450415,22275232,659,3064,54,12,35,2
13356963,15351606,1404,3056,83,9,61,2
13239,63035,49,3052,55,6,44,2
523968,190702,408,3034,74,19,48,2
1772872,26692712,295,3032,62,11,39,1
737021,3317337,393,3031,41,1,27,3
2973174,31640955,498,3027,50,4,37,4
3061655,12047453,1017,3025,83,7,60,4
272279,3610009,295,3023,80,9,54,2
24467445,15610158,2158,3010,45,2,37,7
15434375,26801169,1321,3006,64,11,45,2
2933123,227991,164,2988,66,12,37,4
2910628,6975438,734,2985,67,13,46,3
4369894,22311406,427,2985,78,1,69,4
4458084,18912985,412,2981,72,14,45,2
10380384,11224647,580,2973,73,9,54,3
7589143,11099343,713,2969,50,4,38,2
2325706,34002934,503,2960,63,13,43,2
867507,16107826,197,2949,62,5,44,5
4499896,1730211,891,2948,39,8,27,2
22163653,15871798,3996,2945,58,2,48,1
4481109,24877920,169,2932,85,1,74,4
66347761,33247333,4689,2931,39,6,29,2
8026477,8215700,851,2928,67,5,52,6
2437106,8012023,365,2915,78,11,56,6
4360325,8229300,694,2911,84,2,73,2
1088329,6983865,278,2906,56,4,47,3
3325192,19751834,465,2902,79,13,37,3
1602055,31868483,350,2898,71,11,52,3
1973195,15385327,344,2897,61,2,50,2
12919125,4726718,1582,2885,60,4,48,2
51687600,19798840,5094,2884,73,10,52,3
7327652,10193215,704,2881,37,1,32,4
8171922,24373460,737,2870,100,100,100,6
5126419,15839396,1674,2866,79,9,55,4
6517450,9328503,2108,2864,78,11,55,6
4744609,23793614,532,2859,77,10,54,4
27102385,1376711,3761,2838,64,9,48,3
12239388,10014322,1545,2837,71,13,45,4
3723816,7202056,487,2834,69,10,44,2
1651440,18264776,262,2822,80,8,49,2
5170876,19213982,429,2820,62,5,48,2
6349722,690469,1580,2816,39,1,32,2
1826071,18013716,281,2815,68,16,38,2
6414525,9388321,782,2800,53,6,40,2
24611049,12373811,1916,2795,51,8,35,7
128458,66110,157,2794,44,1,35,1
1933739,19839269,223,2793,78,10,53,2
585988,22156386,209,2780,50,8,34,2
3961971,12724729,685,2770,66,9,44,4
18033931,4042514,1623,2759,55,4,41,9
3539757,32777749,1032,2758,53,9,37,2
9826755,17045705,889,2751,80,5,50,4
6672207,30959087,1688,2740,45,8,30,7
1970212,9317217,530,2737,81,6,59,4
1957524,9533709,523,2737,70,6,52,1
396077,6750073,183,2728,27,3,22,1
9041001,32516754,1475,2725,78,9,57,4
59166398,2574215,2735,2722,47,3,38,3
2046917,20093383,211,2716,51,8,37,1
1581291,16416094,359,2714,44,0,37,4
120356,55620,743,2708,40,0,37,2
3900664,15301134,589,2688,72,10,51,2
5067306,9781254,291,2688,36,10,19,2
9547758,4005962,1431,2685,56,5,45,7
2904034,41085704,473,2680,77,12,49,7
17659184,19619339,961,2675,66,11,45,3
5972357,29093388,368,2659,77,8,53,4
35749271,10535479,5265,2656,66,10,46,6
5181983,833741,590,2648,80,8,59,1
2912515,1994492,1164,2644,58,14,37,6
617529,7285814,211,2641,34,0,31,2
142258,76613,209,2640,29,11,15,1
2553994,32628534,523,2633,63,4,46,4
1900082,47519046,220,2626,57,2,43,3
12018272,18924567,1728,2599,77,13,44,5
77586804,29068142,4519,2596,57,13,35,9
4023241,5736557,1149,2596,82,8,49,6
2303602,13759884,494,2595,68,6,43,3
2578447,12381180,396,2590,73,11,47,2
11246797,18655082,1050,2589,44,10,27,7
1974450,6769706,426,2589,40,6,30,1
2754323,30476450,503,2568,72,14,50,2
4261048,21119812,679,2563,74,17,45,2
9218553,12127815,986,2557,68,8,50,2
3897947,1816554,977,2557,75,1,65,4
1383655,1246589,342,2554,66,1,56,1
16096109,17223464,3437,2550,81,8,61,6
3598352,8615807,452,2547,70,13,43,1
10460624,29643067,694,2534,50,2,41,2
4914454,6288200,219,2533,57,3,41,2
680515,8205298,388,2527,53,1,44,5
2529678,32966215,366,2526,41,4,32,4
210656,844169,440,2519,67,2,51,2
15812522,15868415,2011,2503,62,10,42,6
2810045,21709817,503,2499,75,14,43,4
14289421,3613896,1910,2493,67,4,53,4
23374025,11208815,1537,2486,49,7,36,9
457468,426324,422,2484,58,0,46,2
49712,31166,115,2481,24,7,13,1
5564894,1219047,978,2476,66,7,43,5
3691538,12511904,711,2473,43,5,33,4
2647770,13663914,252,2467,67,9,48,3
31569136,1788225,1257,2465,47,6,34,3
3675016,17328591,408,2461,68,4,49,4
6316023,10211984,492,2450,57,6,44,1
40947118,29019756,5311,2444,45,13,25,7
31227577,11010851,4709,2435,75,8,52,2
16063615,41252035,1638,2415,74,8,53,3
5599615,9305840,1265,2405,58,2,50,2
5112964,29445524,887,2386,80,6,60,5
3221649,705516,483,2372,68,15,40,5
2743035,43397717,452,2367,52,4,39,3
2528447,9920787,527,2365,77,9,54,5
22461933,8495808,4292,2363,83,7,64,4
20878460,12673944,2778,2357,47,3,38,3
21736,34960,4389,2356,12,0,11,1
721776,9405892,382,2351,82,7,59,2
13986928,14834990,948,2349,83,26,41,3
17489515,32017125,1325,2344,77,16,41,2
5034967,10794445,631,2343,83,7,55,4
4245261,24193261,385,2343,60,2,52,3
7546501,15841164,1298,2340,66,6,48,4
9264106,39898303,900,2338,73,10,49,6
7348047,29827547,308,2337,56,0,47,1
1593664,11134130,469,2310,29,0,25,1
3975286,29182524,2035,2307,72,19,47,6
6909784,394806,1164,2302,70,4,57,1
1838959,12883944,663,2302,68,6,52,3
14006466,13282486,1162,2300,46,9,30,3
10825050,26371804,969,2297,65,22,37,3
9738671,1673930,406,2290,64,3,51,3
1637059,16342129,491,2276,54,10,37,4
2440497,9516877,618,2273,70,22,37,3
2800388,17033682,412,2271,81,0,72,2
6025257,7772666,474,2263,100,100,100,4
5948230,29838176,474,2258,85,16,63,1
15411045,17691630,1967,2256,71,7,53,4
36318,459008,160,2253,55,0,45,2
5417650,52235382,1366,2246,49,0,41,4
449300,6939067,179,2245,45,3,37,1
4704038,8427700,498,2238,83,8,59,4
18395272,1275591,1450,2235,78,8,58,2
