集团编号,HP编号,热点名称,热点类型,地址,省份,地市,县市,所属分局（分公司）,经度,纬度,代维公司,IP地址段,接入方式,热点等级,集成商,业主联系人,联系方式,WLAN干放数量,是否有室分,接入电路编号,POP,业务VLAN,PVLAN,管理VLAN,接入域,端口类型,覆盖区域,AP数量,创建时间,备注,导入编号,所属AC名称,场点名称,热点状态,地标,集团经度,集团纬度,
CT_zj_580a1600034,800116057,定海人民南路电信南珍营业厅, 电信自有,定海区人民南路10号,浙江,舟山市,定海县,定海分公司,122.10345,30.01699,金州,183.152.192.2-183.152.207.254,光纤,A,工程局FZ,营业厅,2034437,0,是,,,95,1001,3024,ZS-DH-NZ-1.domain,以太网,营业厅,3,2008-04-17,,CT_zj_5801610011,贝尔AC38（虚）,,正常热点,定海人民南路电信南珍营业厅,,,
CT_zj_580a0500093,800105065,定海临城海运学院图书馆, 学校,定海临城新区海天大道268号,浙江,舟山市,定海县,定海分公司,122.18149,29.9895,金州,183.152.192.2-183.152.207.254,光纤,A,浙贝,王国兵老师,18957226282,0,是,,,179,1001,3025,ZS-DH-NZ-1.domain,以太网,全覆盖,4,2009-09-17,,CT_zj_5800510023,贝尔AC38（虚）,定海临城海运学院,正常热点,定海临城海运学院图书馆,,,
CT_zj_580a1507943,800115781,定海临城银泰百货, 大型购物广场,定海临城市镇府北面,浙江,舟山市,定海县,定海分公司,122.205565,29.991047,金州,183.152.192.2-183.152.207.254,光纤,C,京信,行政部,2086011,0,是,E1107060005-9,,201,1041,3024,ZS-DH-NZ-1.domain,以太网,银泰百货全覆盖,15,2013-03-15,E1107060005-10,CT_zj_5801507220,华三AC定海82（主）,,正常热点,银泰百货,122.20995,29.988784,
CT_zj_580b0607961,8002061385,普陀普陀山锦屏山庄JinPing-WiFi, 宾馆酒店,普陀山法雨路107号,浙江,舟山市,普陀县,普陀分公司,122.38681,30.0011,工程局,183.152.192.2-183.152.207.254,光纤,D,工程局SY,乐谋勋,15305808705,0,是,,,1253,1042,3025,ZS-DH-NZ-1.domain,以太网,普陀普陀山锦屏山庄,0,2013-03-19,,CT_zj_58006200123,华三AC普陀78(主),,在建热点,普陀普陀山锦屏山庄,122.391195,29.998837,
CT_zj_580b0608061,8002061400,普陀普陀山碧海山庄, 宾馆酒店,舟山市普陀普陀山香华街36号,浙江,舟山市,普陀县,普陀分公司,122.38457612,29.98684225,,183.152.192.2-183.152.207.254,光纤,C,工程局SY,范师傅,15168076545,0,是,E1212170005-62,,1260,1042,3025,ZS-DH-NZ-1.domain,以太网,碧海山庄1-2客房,6,2013-05-31,,CT_zj_58006200131,华三AC普陀78(主),,正常热点,普陀普陀山碧海山庄,,,
CT_zj_580b0608062,8002061401,普陀普陀山碧海山庄BiHai-WiFi, 宾馆酒店,舟山市普陀普陀山香华街36号,浙江,舟山市,普陀县,普陀分公司,122.38457612,29.98684225,,183.152.192.2-183.152.207.254,光纤,C,工程局SY,范师傅,15168076545,0,是,E1212170005-62,,1261,1042,3025,ZS-DH-NZ-1.domain,以太网,碧海山庄1-2客房,0,2013-05-31,,CT_zj_58006200132,华三AC普陀78(主),,在建热点,普陀普陀山碧海山庄,,,
CT_zj_580a1308063,800113791,定海新三院急诊楼, 医院,定海人民北路238号,浙江,舟山市,定海县,定海分公司,122.099977,30.030239,金州,183.152.192.2-183.152.207.254,光纤,C,三维,邱主任,13906809059,0,否,E1007270004-20,,205,1041,3000,ZS-DH-NZ-1.domain,以太网,1F和B1F的输液厅,2,2013-06-06,室内分布,CT_zj_5801307548,华三AC定海82（主）,,正常热点,定海第三医院急诊楼,,,
CT_zj_580b0600162,800206229,普陀沈家门海中洲饭店, 宾馆酒店,沈家门东海东路海中洲饭店,浙江,舟山市,普陀县,普陀分公司,122.2979,29.95053,工程局,183.152.192.2-183.152.207.254,光纤,A,京信,乐谋勋,15305808705,0,是,,,616,1022,3028,ZS-DH-NZ-1.domain,ATM,全覆盖,1,2009-12-31,,CT_zj_5800620037,网件AC22（虚）,,正常热点,普陀沈家门海中洲饭店,,,
CT_zj_580b1200061,80022021,普陀东港图书馆, 政府机关等事业单位,普陀东港图书大楼,浙江,舟山市,普陀县,普陀分公司,122.31308,29.97073,工程局,183.152.192.2-183.152.207.254,光纤,A,瑞达,乐谋勋,15305808705,0,是,,,504,1022,3027,ZS-DH-NZ-1.domain,以太网,1楼2楼阅览室，大厅,3,2009-12-31,,CT_zj_5801220012,网件AC22（虚）,,正常热点,普陀东港图书馆,,,
CT_zj_580a9901010,800199121,定海盐仓老虎山采石场部队营房, 其他,定海盐仓老虎山采石场部队营房,浙江,舟山市,定海县,定海分公司,122.04937,30.00481,金州,183.152.192.2-183.152.207.254,光纤,C,工程局FZ,顾磊,15305809609,0,否,,,116,1021,3024,ZS-DH-NZ-1.domain,以太网,老虎山部队营房,1,2010-09-29,,CT_zj_5809910008,网件AC6（虚）,,正常热点,定海盐仓老虎山采石场部队营房,,,
