26726233	68108848	1216	4730	83	13	54	2
17358585	2005081	954	4706	31	12	15	3
1528963	29253932	434	4694	54	11	29	4
3710633	22223797	543	4585	68	19	38	3
12561901	49062198	692	4571	77	17	42	4
4221012	24163022	515	4561	82	11	52	2
5416473	24225998	839	4520	73	15	48	8
10750296	29540162	925	4518	59	13	39	4
6608487	32853275	1682	4486	76	11	50	3
13440304	26608230	1549	4459	53	4	42	2
2871952	1099637	1108	4442	35	0	32	1
2731943	64867831	355	4417	79	9	55	4
7138933	51452909	643	4312	48	12	31	3
16563677	91930408	2158	4307	51	2	46	3
54504401	12905991	3748	4231	80	14	55	4
4584239	61317485	1172	4231	73	16	44	4
6753763	25830710	488	4216	56	8	40	3
10293854	31360574	4738	4202	85	11	59	4
27162094	60807435	2858	4143	74	15	46	4
26315664	56085447	2920	4129	75	12	50	3
931761	31350551	190	4117	59	8	44	2
10817445	20151482	1198	4098	79	6	56	1
3407105	28372315	358	4076	78	12	53	3
6544083	6727165	1634	4075	100	100	100	4
14154238	50887975	1496	4027	72	10	50	2
7744195	57089546	2823	4006	78	10	48	4
15062100	11709235	1227	3978	63	13	39	2
7265300	33216711	1108	3974	40	5	29	3
12353811	24402745	583	3974	72	17	42	4
8382545	49457974	851	3963	47	8	34	1
3394075	18648405	469	3960	79	10	52	4
9744089	16022431	684	3953	30	3	24	2
3393184	52766151	417	3944	77	9	35	1
4877867	5656175	694	3921	69	10	48	4
7018490	31865804	1177	3911	51	13	33	2
26568678	30047345	5164	3856	65	3	53	1
858931	13029758	497	3781	47	17	26	1
6047640	53187798	446	3756	50	1	41	1
44350197	21085925	4350	3751	73	13	48	2
15362630	1937682	1029	3742	66	15	38	3
8358294	28300043	911	3727	71	9	51	1
9248550	33823424	1114	3651	59	10	42	3
31564122	12681236	2653	3640	70	15	45	5
8702420	2191375	525	3624	60	16	38	2
6990368	1097024	966	3594	68	13	45	1
1485872	18512682	567	3576	56	21	31	1
26598781	19424923	1350	3568	78	12	48	4
1357386	38108662	464	3563	66	6	44	5
4945838	15955813	456	3536	45	9	28	2
4622571	23950917	486	3534	78	4	52	3
8689868	2444624	711	3484	75	10	60	4
16090645	28914966	2342	3482	56	11	32	5
1112355	1796542	1261	3470	66	34	25	2
